KT;ORTNAME;PLZ
ZH;Henggart;8444
FR;Hennens;1681
VD;Henniez;1525
SO;Herbetswil;4715
BE;Herbligen;3671
SH;Herblingen;8207
VS;Herbriggen;3927
TG;Herdern;8535
VS;Hérémence;1987
NW;Hergiswil;6052
LU;Hergiswil bei Willisau;6133
AR;Herisau;9100
LU;Herlisberg;6028
GE;Hermance;1248
ZH;Hermatswil;8330
VD;Hermenches;1513
AG;Hermetschwil-Staffeln;5626
ZH;Hermikon;8600
BE;Hermiswil;3475
BE;Hermiswil bei Kirchenthurnen;3132
BE;Hermrigen;3274
BE;Herolfingen;3503
TG;Herrenhof;8585
BE;Herrenschwanden;3037
ZH;Herrliberg;8704
BL;Hersberg;4423
ZH;Herschmettlen;8626
SO;Hersiwil;4558
LU;Hertenstein;6353
AG;Hertenstein;5415
AG;Herzberg;5025
AG;Herznach;5027
BE;Herzogenbuchsee;3360
BE;Herzwil;3172
ZH;Heslibach;8700
TG;Hessenreuti;8583
SO;Hessigkofen;4577
AG;Hettenschwil;5317
BE;Hettiswil bei Hindelbank;3325
ZH;Hettlingen;8442
BE;Heubach;3154
ZH;Heusberg;8607
BE;Heustrich;3711
LU;Hildisrieden;6024
LU;Hilfernthal;6192
AG;Hilfikon;5613
BE;Hilterfingen;3652
SO;Himmelried;4204
BE;Hindelbank;3324
SZ;Hinterbäch;8806
SZ;Hinterbäch;8806
ZH;Hinteregg;8132
SG;Hinterforst;9452
SG;Hinterforst;9452
BE;Hinterfultigen;3089
SG;Hintergoldingen;8638
SG;Hinterhof;9033
BE;Hinterkappelen;3032
BE;Hinterkappelen;3032
LU;Hintermoos;6260
GR;Hinterrhein;7438
SZ;Hinterthal;6436
AG;Hinterwil;4813
ZH;Hinwil;8340
SG;Hirschensprung;9464
BE;Hirschhorn;3153
BE;Hirschmatt;3158
AG;Hirschthal;5042
ZH;Hirslanden;8000
BE;Hirzboden;3715
BS;Hirzbrunnen;4000
ZH;Hirzel;8816
ZH;Hittenberg;8636
ZH;Hittnau;8335
LU;Hitzkirch;6285
LU;Hochdorf;6280
LU;Hochdorf;6280
ZH;Hochfelden;8182
BE;Höchstetten;3429
SO;Hochwald;4146
SG;Hochwiese;8893
SZ;Hoch-Ybrig;8842
SZ;Hoch-Ybrig;8842
ZH;Hof;8304
SG;Hof;9404
TG;Hof;8590
SG;Hof bei Uznach;8730
BE;Hofen;4943
SH;Hofen;8242
BE;Höfen;3631
TG;Hofen bei Sirnach;8370
SG;Hoffeld;9114
LU;Hofstatt;6154
ZH;Hofstetten;8154
SO;Hofstetten;4114
ZH;Hofstetten (ZH);8354
BE;Hofstetten bei Brienz;3858
BE;Hofwil;3053
LU;Hohenrain;6276
TG;Hohentannen;9216
BE;Hohfluh;6083
SG;Hohriet;9404
VS;Hohtenn;3949
SO;Holderbank;4718
AG;Holderbank;5113
BL;Hölstein;4434
TG;Holzenstein;8590
ZG;Holzhäusern;6343
TG;Holzhäusern;8558
AG;Holziken;5043
VS;Holzji;3902
TG;Holzmannshaus;8360
BE;Homberg;3622
ZH;Hombrechtikon;8634
TG;Homburg;8508
LU;Honau;6038
BE;Hondrich;3702
SO;Höngen;4712
ZH;Höngg;8000
TG;Horben bei Frauenfeld;8524
ZH;Horben bei Illnau;8308
TG;Horben bei Sirnach;8372
BE;Horboden;3755
ZH;Horgen;8810
TG;Horgenbach;8500
ZH;Horgenberg;8815
TG;Hörhausen;8507
ZH;Höri;8181
TG;Horn;9326
AG;Hornussen;5075
BE;Horrenbach;3623
SO;Horriwil;4557
LU;Horw;6048
TG;Hosenruck;9515
UR;Hospental;6493
ZH;Hottingen;8000
AG;Hottwil;5277
ZH;Hub;8637
LU;Hübeli;6133
TG;Huben;8500
SO;Hubersdorf;4535
TG;Hueb;8590
SG;Hueb bei Mörschwil;9402
VD;Huémoz;1884
TG;Hugelshofen;8565
ZH;Huggenberg;8354
SO;Huggerwald;4245
ZH;Humlikon;8457
AR;Hundwil;9064
ZG;Hünenberg;6331
TG;Hungerbüel;8599
BE;Hünibach;3626
BE;Hünibach;3626
SO;Hüniken;4554
ZH;Hünikon;8412
ZH;Hüntwangen;8194
AG;Hunzenschwil;5502
TG;Hunzikon;9545
SZ;Hurden;8640
TG;Hurnen;8360
BE;Hüsen;3860
LU;Hüswil;6152
ZH;Hütten;8825
ZH;Hüttikon;8115
TG;Hüttlingen;8553
BE;Huttwil;4950
TG;Hüttwilen;8536
ZH;Hutzikon;8488
SZ;Ibach;6438
ZH;Iberg;8400
SZ;Ibergeregg;8843
SO;Ichertswil;4571
VS;Icogne;1977
SO;Ifenthal;4633
BE;Iffwil;3305
TG;Ifwil;8362
GR;Igis;7206
GR;Ilanz;7130
BE;Ilfis;3550
VS;Illarsaz;1893
SZ;Illgau;6434
TG;Illhart;8556
TG;Illighausen;8574
BE;Illiswil;3033
ZH;Illnau;8308
FR;Im Fang;1656
SO;Im Holz;4514
SZ;Immensee;6405
TI;Indemini;6571
VS;Inden;3953
SZ;Ingenbohl;6440
BE;Inkwil;3375
GR;Innerarosa;7050
BE;Innerberg;3044
BE;Innereriz;3619
GR;Innerferrera;7445
SZ;Innerthal;8858
BE;Innertkirchen;3862
GR;Innertobel;7134
BE;Ins;3232
TI;Insone;6951
BE;Interlaken;3800
TI;Intragna;6655
UR;Intschi;6476
LU;Inwil;6034
BE;Ipsach;2563
TI;Iragna;6707
ZH;Irgenhausen;8330
BS;Iselin;4000
TG;Iselisberg;8524
BE;Iseltwald;3807
AG;Isenbergschwil;5637
BE;Isenfluh;3822
UR;Isenthal;6461
TI;Iseo;6993
VS;Isérables;1914
ZH;Isikon;8335
UR;Isleten;6466
TG;Islikon;8546
AG;Islisberg;8905
TI;Isole di Brissago;6614
TI;Isone;6810
VS;Issert;1937
TG;Istighofen;8575
TG;Itaslen;8362
BL;Itingen;4452
BE;Itramen;3818
VS;Itravers;3979
ZH;Itschnach;8700
VD;Ittens;1308
AG;Ittenthal;5083
BE;Ittigen;3063
ZH;Itzikon;8627
BE;Jaberg;3629
AI;Jakobsbad;9108
TG;Jakobstal;9545
ZH;Jakobsthal;8354
BE;Jassbach;3673
FR;Jaun;1656
BE;Jegenstorf;3303
VS;Jeizinen;3945
GR;Jenaz;7233
GR;Jenins;7307
GR;Jenisberg;7494
BE;Jens;2565
BE;Jerisberg;3208
BE;Jerisberghof;3208
FR;Jetschwil;3186
BE;Jetzikofen;3038
FR;Jeuss;1793
SG;Jona;8645
AG;Jonen;8916
VD;Jongny;1805
SG;Jonschwil;9243
VD;Jor;1833
FR;Joressens;1789
VD;Jouxtens;1008
BE;Jucher;3036
BE;Juchlishaus;3204
BE;Juchten;3476
ZH;Juckeren;8493
GR;Juf;7448
GR;Julierpass;7457
BE;Jungfraujoch;3801
VD;Juriens;1326
GE;Jussy;1254
GE;Jussy-le-Château;1254
OW;Kägiswil;6056
AR;Kaien;9038
AG;Kaiseraugst;4303
OW;Kaiserstuhl;6078
AG;Kaiserstuhl;5466
AG;Kaisten;5082
BE;Kalchofen;3415
TG;Kalchrain;8536
AG;Kallern;5625
BE;Kallnach;3283
VS;Kalpetran;3922
BE;Kaltacker;3413
LU;Kaltbach;6212
SG;Kaltbrunn;8722
TG;Kaltenbach;8259
TG;Kaltenbrunnen;8514
TG;Kalthäusern;9508
SO;Kammersrohr;4535
BE;Kanderbrück;3714
BE;Kandergrund;3716
BE;Kandersteg;3718
BL;Känerkinden;4447
ZH;Käpfnach;8810
SO;Kappel;4616
TG;Kappel;8508
ZH;Kappel am Albis;8926
BE;Kappelen;3273
BE;Kappelenring;3032
BE;Kappelisacker;3063
TG;Kartause Ittingen;8532
BE;Käserstatt;6086
LU;Kastanienbaum;6047
ZH;Katzenrüti;8153
ZH;Katzensee;8105
BE;Kaufdorf;3126
ZH;Kefikon;8546
TG;Kefikon;8546
ZH;Kehlhof;8712
TG;Kehlhof;8572
BE;Kehrsatz;3122
NW;Kehrsiten;6365
ZH;Kemleten;8307
ZG;Kemmatten;6333
BE;Kemmeriboden;6197
AG;Kempfhof;5436
SG;Kempraten;8640
ZH;Kempten;8623
ZH;Kemptthal;8310
BE;Kernenried;3309
OW;Kerns;6064
FR;Kerzers;3210
TG;Kesswil;8593
SO;Kestenholz;4703
SO;Kienberg;4468
BE;Kienersrüti;3628
BE;Kienholz;3855
BE;Kiental;3723
BE;Kiesen;3629
ZH;Kilchberg;8802
BL;Kilchberg;4496
LU;Kilchbühl;6204
AG;Killwangen;8956
ZH;Kindhausen;8604
AG;Kindhausen;8962
VS;Kippel;3917
BE;Kirchberg;3422
SG;Kirchberg;9533
AG;Kirchbözberg;5225
ZH;Kirchdinhard;8474
BE;Kirchdorf;3116
AG;Kirchdorf;5416
BE;Kirchenfeld;3000
BE;Kirchenthurnen;3128
OW;Kirchhofen;6060
AG;Kirchleerau;5054
BE;Kirchlindach;3038
AG;Kirchrued;5044
TG;Klarsreuti;8585
ZH;Kleinandelfingen;8451
ZH;Kleinbäretswil;8498
FR;Kleinbösingen;3213
BE;Kleindietwil;4936
AG;Kleindöttingen;5314
BE;Kleine Scheidegg;3823
BE;Kleingümmenen;3205
FR;Kleingurmels;3212
FR;Kleinguschelmuth;1792
BS;Kleinhüningen;4000
ZH;Kleinikon;8312
SO;Kleinlützel;4245
OW;Kleinteil;6074
LU;Kleinwangen;6277
SO;Kleinwangen;4612
NW;Klewenalp;6375
TG;Klingenberg;8508
TG;Klingenzell;8264
AG;Klingnau;5313
GL;Klöntal;8750
GR;Klosters Dorf;7252
GR;Klosters Platz;7250
ZH;Kloten;8302
SO;Klus;4710
BS;Klybeck;4000
SG;Knoblisbühl;8881
ZH;Knonau;8934
LU;Knutwil;6213
SG;Kobelwald;9463
AG;Koblenz;5322
ZH;Kollbrunn;8483
ZH;Kollbrunn;8483
AG;Kölliken;5742
AG;Königsfelden;5200
BE;Köniz;3098
BE;Konolfingen;3510
BE;Koppigen;3425
BE;Kosthofen;3262
LU;Kottwil;6217
TG;Kradolf;9214
BE;Kräiligen;3315
BE;Krattigen;3704
BE;Krauchthal;3326
TG;Kreuzlingen;8280
TG;Kreuzlingen;8280
BE;Kriechenwil;3179
SO;Kriegstetten;4566
LU;Kriens;6010
SG;Kriessern;9451
TG;Krillberg;9546
SG;Krinau;9622
SG;Kronbühl;9300
BE;Kröschenbrunnen;3555
LU;Krummbach;6232
SG;Krummenau;9643
GR;Küblis;7240
TG;Kugelshofen;8506
BE;Kühlewil;3086
LU;Kulmerau;6234
TG;Kümmertshausen;8586
AG;Küngoldingen;4665
GR;Kunkels;7315
AG;Künten;5444
TG;Kurzdorf;8500
TG;Kurzrickenbach;8280
ZH;Küsnacht;8700
SZ;Küssnacht am Rigi;6403
AG;Küttigen;5024
SO;Küttigkofen;4581
ZH;Kyburg;8314
SO;Kyburg;4586
VS;La Balmaz;1902
VD;La Barboleusaz;1882
VS;La Bâtiaz;1920
JU;La Bosse;2360
NE;La Brévine;2406
GE;La Capite;1222
GE;La Capite;1222
NE;La Châtagne;2406
VD;La Chaux (Cossonay);1308
BE;La Chaux-d'Abel;2333
BE;La Chaux-d'Abel;2333
NE;La Chaux-de-Fonds;2300
JU;La Chaux-des-Breuleux;2345
VD;La Chaux-de-Ste-Croix;1454
NE;La Chaux-du-Milieu;2405
VD;La Chiésaz;1806
BE;La Cibourg;2333
BE;La Cibourg;2616
NE;La Cibourg;2300
VD;La Comballaz;1862
VD;La Conversion;1093
NE;La Corbatière;2314
FR;La Corbaz;1782
NE;La Côte-aux-Fées;2117
VD;La Coudre;1148
NE;La Coudre;2000
VS;La Crettaz;1920
VS;La Creusaz;1923
VD;La Croix;1090
VS;La Croix;1921
GE;La Croix-de-Rozon;1257
VD;La Cure;1265
VS;La Doey;1891
VS;La Douay;1937
FR;La Faye;1763
FR;La Faye;1763
BE;La Ferrière;2333
VS;La Fontaine;1921
VD;La Forclaz;1866
VS;La Forclaz;1985
VS;La Forclaz;1920
VS;La Fouly;1944
VS;La Garde;1933
VD;La Givrine;1264
VD;La Golisse;1347
GE;La Gradelle;1224
BE;La Heutte;2604
NE;La Jaluse;2400
NE;La Jonchère;2043
FR;La Joux;1697
NE;La Joux-du-Plâne;2058
VD;La Lécherette;1660
VS;La Luette;1982
FR;La Magne;1687
VD;La Mauguettaz;1462
VS;La Montoz;1947
VD;La Mothe;1431
JU;La Motte;2889
VS;La Muraz;1965
FR;La Neirigue;1686
BE;La Neuveville;2520
GE;La Pallanterie;1222
NE;La Petite-Joux;2316
VS;La Place;1966
GE;La Plaine;1283
GE;La Praille;1227
GE;La Praille;1227
BE;La Praye;2523
VD;La Praz;1148
GR;La Punt;7522
VS;La Rasse;1902
VS;La Rasse;1902
VD;La Rippe;1278
VD;La Robellaz;1417
FR;La Roche;1634
VD;La Rogivue;1613
GR;La Rösa;7742
VD;La Rosiaz;1009
VS;La Rosière;1937
FR;La Rougève;1623
VD;La Russille;1356
VS;La Sage;1985
VD;La Sagne;1450
NE;La Sagne;2314
NE;La Sagne-Eglise;2314
VD;La Sallaz;1000
VD;La Sarraz;1315
VS;La Seiloz;1943
FR;La Sonnaz;1783
BE;La Tanne;2720
VD;La Tine;1658
VS;La Tour;1984
VD;La Tour-de-Peilz;1814
FR;La Tour-de-Trême;1635
NE;La Tourne;2019
FR;La Tsintre;1637
FR;La Valsainte;1654
VS;La Vernaz;1992
FR;La Verrerie;1624
VS;La Verrerie;1904
FR;La Vounaise;1489
VD;La Vraconnaz;1454
NE;La Vue-des-Alpes;2052
GR;Laax;7031
VD;L'Abbaye;1344
VD;L'Abergement;1355
SZ;Lachen;8853
AR;Lachen;9428
SG;Lachen;9000
GE;Laconnex;1287
GR;Ladir;7155
GR;Lain;7082
JU;Lajoux;2718
VS;Lalden;3931
VD;L'Allex;1880
VD;L'Alliaz;1807
VD;Lally;1807
BE;Lamboing;2516
TI;Lamone;6814
BL;Lampenberg;4432
TG;Lamperswil;8556
VS;Lana;1983
GE;Lancy;1212
GR;Landarenca;6545
GE;Landecy;1257
BE;Landerswil;3036
NE;Landeyeux;2046
ZH;Landikon;8903
BE;Landiswil;3434
GR;Landquart;7302
GR;Landquart-Fabriken;7302
TG;Landschlacht;8597
BE;Landshut;3427
ZH;Langenberg;8135
LU;Längenbold;6039
BL;Langenbruck;4438
BE;Längenbühl;3636
SO;Langendorf;4513
BE;Längengrund;3556
ZH;Langenhard;8486
TG;Langenhart;8555
BE;Langenloh;3075
ZH;Langenmoos;8467
BE;Längenschachen;3653
BE;Langenthal;4900
SG;Langgass;9000
BE;Länggasse;3000
ZH;Langnau am Albis;8135
LU;Langnau bei Reiden;6262
BE;Langnau im Emmental;3550
TG;Langrickenbach;8585
GR;Langwies;7057
ZH;Langwiesen;8246
TG;Lanterswil;9503
GR;Lantsch/Lenz;7083
BE;Lanzenhäusern;3148
TG;Lanzenneunforn;8506
GR;Laret;7562
GR;Laret;7265
TI;Largario;6724
GR;Latsch;7484
BE;Latterbach;3758
BE;Lätti;3053
BE;Lattrigen;2572
VD;L'Auberson;1454
BE;Lauenen bei Gstaad;3782
SZ;Lauerz;6424
BL;Läufelfingen;4448
BL;Laufen;4242
AG;Laufenburg;5080
ZH;Laufen-Uhwiesen;8248
AG;Lauffohr;5200
SG;Läui;9466
ZH;Laupen;8637
BE;Laupen;3177
SG;Laupen;9524
SG;Laupen;9524
SO;Laupersdorf;4712
BE;Lauperswil;3438
VD;Lausanne;1000
BL;Lausen;4415
BE;Lauterbach;3414
BE;Lauterbrunnen;3822
BL;Lauwil;4426
TI;Lavertezzo;6633
VD;Lavey-les-Bains;1892
VD;Lavey-Village;1892
VD;Lavigny;1175
GR;Lavin;7543
TI;Lavòrceno;6718
TI;Lavorgo;6746
VS;Lax;3994
JU;Le Bémont;2360
VD;Le Bévieux;1880
VS;Le Biolley-sur-Orsières;1937
VS;Le Bleusy;1997
JU;Le Boéchet;2336
VS;Le Borgeaud;1932
VS;Le Bourg;1920
VD;Le Brassus;1348
VS;Le Brocard;1921
NE;Le Brouillet;2406
FR;Le Bry;1645
VD;Le Campe;1348
GE;Le Cannelet;1285
VD;Le Carroz;1348
VS;Le Cergneux;1921
NE;Le Cerneux-Péquignot;2414
JU;Le Cerneux-Veusil;2345
BE;Le Cernil;2722
VS;Le Châble;1934
VD;Le Chalet-à-Gobet;1000
BE;Le Chaluet;2738
VS;Le Chargeur;1987
VD;Le Château-de-Ste-Croix;1450
VS;Le Châtelard;1925
FR;Le Châtelard-près-Romont;1689
VD;Le Chenit;1347
NE;Le Col-des-Roches;2400
NE;Le Côty;2058
VD;Le Coudray;1372
NE;Le Crêt;2314
NE;Le Crêt-du-Locle;2322
FR;Le Crêt-près-Semsales;1611
NE;Le Crozot;2400
VD;Le Day;1337
VD;Le Dézaley;1071
VS;Le Fays;1921
VS;Le Fregnoley;1947
BE;Le Fuet;2712
GE;Le Grand-Saconnex;1218
BE;Le Jeanbrenin;2720
NE;Le Joratel;2318
FR;Le Jordil;1609
NE;Le Landeron;2525
NE;Le Lessy;2023
VD;Le Lieu;1345
GE;Le Lignon;1219
NE;Le Locle;2400
VD;Le Marchairuz;1348
VS;Le Martinet;1947
VD;Le Mont-Pèlerin;1801
VD;Le Mont-sur-Lausanne;1052
VS;Le Morgnes;1948
FR;Le Mouret;1724
FR;Le Mouret;1724
VD;Le Muids;1273
JU;Le Noirmont;2340
FR;Le Pafuet;1724
FR;Le Pâquier;1661
NE;Le Pâquier;2058
VS;Le Parfay;1991
FR;Le Péage;1788
GE;Le Petit-Saconnex;1200
JU;Le Peuchapatte;2345
JU;Le Peu-Claude;2336
JU;Le Peu-Péquinot;2340
VS;Le Planchamp;1948
VD;Le Pont;1342
BE;Le Pré-Carrel;2534
JU;Le Prédame;2714
GR;Le Prese;7746
NE;Le Prévoux;2400
NE;Le Prévoux;2400
NE;Le Quartier;2400
VD;Le Rocheray;1347
JU;Le Roselet;2345
VD;Le Rosex;1864
VS;Le Sapey;1934
FR;Le Saulgy;1678
VD;Le Séchey;1345
VD;Le Sentier;1347
VD;Le Sépey;1863
VD;Le Solliat;1347
VS;Le Trétien;1923
VD;Le Tronchet;1091
VD;Le Vaud;1261
FR;Léchelles;1773
GR;Leggia;6556
AG;Leibstadt;5325
ZH;Leimbach;8041
AG;Leimbach;5733
TG;Leimbach;8584
BE;Leimiswil;4935
BE;Leissigen;3706
TI;Lelgio;6960
SG;Lenggenwil;9525
BE;Lengnau;2543
AG;Lengnau;5426
TG;Lengwil;8574
BE;Lenk im Simmental;3775
VS;Lens;1978
FR;Lentigny;1745
AG;Lenzburg;5600
GR;Lenzerheide See;7077
GR;Lenzerheide/Lai;7078
SG;Lenzikon;8732
TI;Leontica;6716
BE;Lerchenfeld;3600
GE;Les Acacias;1227
GE;Les Acacias;1227
VS;Les Agettes;1992
VS;Les Arlaches;1943
GE;Les Avanchets;1220
VD;Les Avants;1833
VD;Les Aviolats;1864
NE;Les Bayards;2127
VS;Les Bioley-de-Brignon;1996
VD;Les Bioux;1346
JU;Les Bois;2336
VD;Les Bovets;1865
NE;Les Brenets;2416
JU;Les Breuleux;2345
NE;Les Bugnenets;2058
JU;Les Cerlatez;2350
VD;Les Charbonnières;1343
FR;Les Chavannes-sous-Romont;1680
VS;Les Chênes;1906
VD;Les Chevalleyres;1807
VD;Les Clées;1356
NE;Les Coeudres;2314
VS;Les Collons;1988
VD;Les Croisettes;1066
VS;Les Crosets;1873
VD;Les Cullayes;1080
FR;Les Daillettes;1752
VD;Les Dévens;1880
VD;Les Diablerets;1865
GE;Les Eaux-Vives;1200
FR;Les Ecasseys;1697
BE;Les Ecorcheresses;2748
JU;Les Emibois;2338
JU;Les Enfers;2363
NE;Les Eplatures;2300
VS;Les Evouettes;1897
NE;Les Frêtes;2416
FR;Les Friques;1566
NE;Les Geneveys-sur-Coffrane;2206
JU;Les Genevez;2714
VS;Les Giettes;1871
VS;Les Giettes;1871
VD;Les Granges;1660
VS;Les Granges;1922
NE;Les Grattes;2019
VS;Les Haudères;1984
NE;Les Hauts-Geneveys;2208
VS;Les Jeurs;1929
NE;Les Joux-Derrière;2300
NE;Les Loges;2052
VS;Les Marécottes;1923
VS;Les Masses;1987
VS;Les Mayens-de-Sion;1992
VS;Les Mayens-de-Sion;1992
VD;Les Monts-de-Corsier;1808
VD;Les Monts-de-Pully;1068
VD;Les Mosses;1862
VD;Les Moulins;1660
VS;Les Moulins;1945
VS;Les Neyres;1868
FR;Les Paccots;1619
NE;Les Petits-Ponts;2318
VS;Les Places;1947
FR;Les Planches;1475
VD;Les Planches;1863
VD;Les Planches;1052
VD;Les Planches;1820
NE;Les Planchettes;2325
VD;Les Plans-sur-Bex;1880
JU;Les Pommerats;2353
BE;Les Pontins;2610
FR;Les Ponts;1627
NE;Les Ponts-de-Martel;2316
VD;Les Posses-sur-Bex;1880
VS;Les Prasses;1981
BE;Les Prés-d'Orvin;2534
JU;Les Rangiers;2954
VS;Les Rappes;1921
VD;Les Rasses;1452
NE;Les Replattes;2400
BE;Les Reussilles;2722
JU;Les Rondez;2800
JU;Les Rouges-Terres;2360
NE;Les Ruillères;2108
NE;Les Sagnettes;2124
JU;Les Sairains;2362
FR;Les Sciernes-d'Albeuve;1669
NE;Les Taillères;2406
VD;Les Tavernes;1607
VD;Les Thioleyres;1607
VD;Les Tuileries;1422
JU;Les Vacheries;2345
JU;Les Vacheries-Genevez;2714
VS;Les Valettes;1932
VS;Les Vérines;1955
NE;Les Verrières;2126
NE;Les Vieux-Prés;2054
VD;Les Voëttes;1862
VD;Les Vullierens;1424
FR;Lessoc;1669
VD;L'Etivaz;1660
ZH;Lettenberg;8487
AR;Leuchen;9428
GL;Leuggelbach;8774
AG;Leuggern;5316
VS;Leukerbad;3954
VS;Leuk-Stadt;3953
AG;Leutwil;5725
BE;Leuzigen;3297
VS;Levron;1942
VD;Leysin;1854
VS;Leytron;1912
GR;Li Curt;7745
SG;Libingen;9614
SG;Lichtensteig;9620
VS;Liddes;1945
FR;Liderrey;1637
BE;Liebefeld;3097
TG;Liebenfels;8506
ZH;Liebensberg;8543
BE;Liebewil;3173
FR;Liebistorf;3213
AG;Liebrüti;4303
BL;Liedertswil;4436
FR;Lieffrens;1688
LU;Lieli;6277
AG;Lieli;8966
SG;Lienz;9464
BL;Liesberg;4253
BL;Liesberg Dorf;4254
BL;Liestal;4410
VS;Liez;1969
BE;Ligerz;2514
VD;Lignerolle;1357
NE;Lignières;2523
TI;Ligornetto;6853
ZH;Limberg;8127
BE;Limpach;3317
ZH;Lindau;8315
BE;Linden;3673
AG;Linden;4812
AG;Linden;4812
ZG;Lindencham;6332
BE;Lindenholz;4935
BE;Lindenthal bei Boll;3067
SG;Lindenwis;9032
TI;Linescio;6682
AG;Linn;5225
GL;Linthal;8783
ZH;Lippenschwendi;8494
TG;Lipperswil;8564
TG;Lippoldswilen;8566
VD;L'Isle;1148
TI;Lisone;6936
LU;Littau;6014
TG;Littenheid;9573
GR;Litzirüti;7058
FR;Litzistorf;3178
BE;Lobsigen;3268
VS;Loc;3960
TI;Locarno;6600
SG;Loch;9404
TI;Loco;6661
TI;Lodano;6678
TI;Lodrino;6527
GE;Loëx;1233
GR;Logiano;6563
SO;Lohn;4573
SH;Lohn;8235
GR;Lohn;7433
SH;Löhningen;8224
BE;Lohnstorf;3127
SG;Lömmenschwil;9308
TG;Lommis;9506
SO;Lommiswil;4514
VD;Lonay;1027
VD;Longirod;1261
TI;Lopagno;6956
VD;L'Orient;1341
TI;Loro;6582
BE;Lorraine;3000
ZG;Lorzen;6300
TI;Losone;6616
FR;Lossy;1782
GR;Lostallo;6558
SO;Lostorf;4654
TI;Lottigna;6716
BE;Lotzwil;4932
VS;Lourtier;1948
VD;Lovatens;1682
FR;Lovens;1756
BE;Loveresse;2732
JU;Löwenburg;2813
VS;Loye;3979
GR;Lü;7534
VS;Luc;1966
JU;Lucelle;2807
JU;Lucelle;2807
VD;Lucens;1522
AI;Lüchingen;9450
SG;Lüchingen;9450
GL;Luchsingen;8775
ZH;Luckhausen;8307
TI;Lucomagno;7185
ZH;Ludetswil;8322
TI;Ludiano;6721
ZH;Ludretikon;8800
GR;Lüen;7027
ZH;Lufingen;8426
TI;Lugaggia;6953
TI;Lugano;6900
JU;Lugnez;2933
FR;Lugnorre;1789
VD;Luins;1184
GE;Lullier;1254
FR;Lully;1470
VD;Lully;1132
GE;Lully;1223
GR;Lumbrein;7148
TI;Lumino;6533
GR;Lumneins;7166
GR;Lunden;7222
OW;Lungern;6078
GR;Lunschania;7116
AG;Lupfig;5242
BL;Lupsingen;4419
TI;Lurengo;6777
FR;Lurtigen;3215
BE;Lüscherz;2576
VD;Lussery;1307
SO;Lüsslingen;4574
FR;Lussy;1690
VD;Lussy-sur-Morges;1167
TG;Lustdorf;8512
AR;Lustmühle;9062
SO;Luterbach;4542
SO;Lüterkofen;4571
SO;Lüterswil;4584
LU;Luthern;6156
LU;Luthern Bad;6156
ZH;Lutikon;8712
SG;Lütisburg;9604
SG;Lütisburg Station;9601
VD;Lutry;1095
BE;Lütschental;3816
BE;Lützelflüh;3432
AR;Lutzenberg;9426
GR;Luven;7141
GR;Luzein;7242
LU;Luzern;6000
BE;Lyss;3250
BE;Lyssach;3421
VS;Mâche;1987
UR;Maderanerthal;6475
ZH;Madetswil;8322
BE;Madiswil;4934
TI;Madonna del Piano;6995
TI;Madrano;6780
BE;Madretsch;2500
SG;Mädris;8886
GR;Madulain;7523
TI;Magadino;6573
AG;Magden;4312
SG;Magdenau;9116
AG;Mägenwil;5506
TI;Maggia;6673
BE;Magglingen/Macolin;2532
TI;Magliasina;6987
TI;Magliasina;6987
TI;Magliaso;6983
TI;Maglio di Colla;6959
FR;Magnedens;1727
VS;Magnot;1963
GR;Magun;7442
SO;Mahren;4654
GR;Maienfeld;7304
TI;Mairengo;6763
TG;Maischhusen;8357
BL;Maisprach;4464
GR;Maladers;7026
GE;Malagny;1294
SG;Malans;9479
GR;Malans;7208
VD;Malapalud;1042
GR;Malix;7074
BE;Malleray;2735
VD;Malley;1000
GR;Maloja;7516
LU;Malters;6102
TI;Malvaglia;6713
GE;Malval;1283
NE;Malvilliers;2043
BE;Mamishaus;3152
TG;Mammern;8265
AG;Mandach;5318
ZH;Männedorf;8708
TG;Mannenbach;8268
FR;Mannens;1775
BE;Männlichen;3823
TI;Manno;6928
BE;Mannried;3770
ZH;Manzenhub;8492
VD;Maracon;1613
LU;Marbach;6196
SG;Marbach;9437
VD;Marchissy;1261
BE;Marfeldingen;3203
FR;Mariahilf;3186
SO;Mariastein;4115
NE;Marin;2074
FR;Marly;1723
GR;Marmorera;7456
VD;Marnand;1524
TI;Maroggia;6817
TI;Marolta;6723
FR;Marsens;1633
TG;Märstetten;8560
TG;Märstetten Station;8560
NE;Martel-Dernier;2316
ZH;Marthalen;8460
VD;Martherenges;1063
VS;Martigny;1920
VS;Martigny-Combe;1921
GR;Martina;7560
VS;Martisberg;3994
TG;Märwil;9562
TI;Marzano;6718
GR;Masans;7000
ZH;Maschwanden;8933
VS;Mase;1968
GR;Masein;7425
SG;Maseltrangen;8723
TI;Massagno;6900
VS;Massongex;1869
FR;Massonnens;1692
GR;Mastrils;7303
GE;Mategnin;1217
VD;Mathod;1438
GR;Mathon;7433
FR;Matran;1753
GL;Matt;8766
BE;Matten;3773
BE;Matten bei Interlaken;3800
BE;Mättenbach;4934
BE;Mattenhof;3000
BS;Matthäus;4000
VS;Mattsand;3927
BE;Mattstetten;3322
TG;Mattwil;8585
SO;Matzendorf;4713
BE;Matzenried;3000
TG;Matzingen;9548
BE;Matzwil;3036
VD;Mauborget;1453
LU;Mauensee;6216
FR;Maules;1625
ZH;Maur;8124
VS;Mauracker;3935
VD;Mauraz;1148
TG;Mauren;8576
